NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;RRAB;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;TX;TXAB;TXMIN;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;TNAB;TNMAX;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;TAMPLIAB;TM;TMMIN;TMMAX
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200303;11.5;4.5;3;0;0;0;0;0;16.1;21.4;10.1;0;0;0;0;26;31;0;3.0;-1.9;9.0;0;0;31;31;31;0;0;6;13.1;18.5;9.5;4.8;14.5
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200304;27.5;9.5;7;3;0;0;0;0;18.1;26.7;8.8;0;2;0;0;15;30;0;6.5;-5.0;15.0;1;0;24;30;30;0;0;1;11.5;18.2;12.3;3.3;20.9
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200305;31.0;9.0;8;2;0;0;0;0;22.7;30.8;13.7;0;12;1;0;9;25;0;10.6;3.1;15.5;0;0;10;29;31;0;0;0;12.0;23.5;16.7;10.8;22.7
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200306;44.5;12.0;5;4;3;0;0;0;31.8;37.6;26.7;0;30;22;7;0;1;13;17.2;12.9;20.8;0;0;0;5;29;1;0;0;14.6;24.7;24.5;21.0;28.2
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200307;51.0;11.0;9;4;1;0;0;0;29.3;37.4;21.5;0;24;13;4;0;9;8;15.5;10.4;19.4;0;0;0;14;31;0;0;0;13.7;22.7;22.4;17.6;28.4
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200308;61.0;18.5;8;4;2;0;0;0;32.8;40.0;21.9;0;29;23;11;0;3;16;17.6;13.2;20.9;0;0;0;3;29;3;0;0;15.2;20.1;25.2;17.6;30.0
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200309;39.5;10.0;8;3;1;0;0;0;23.3;30.6;18.2;0;11;1;0;7;25;0;10.4;4.0;14.8;0;0;16;30;30;0;0;0;12.9;21.1;16.9;12.0;20.6
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200310;89.5;28.5;12;7;3;0;0;0;14.6;26.0;4.3;0;1;0;0;28;31;0;5.5;-4.9;14.9;0;0;26;31;31;0;0;5;9.1;15.1;10.1;1.0;20.5
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200311;67.0;17.0;9;5;3;0;0;0;11.8;18.0;6.5;0;0;0;0;30;30;0;4.2;-0.6;15.2;0;0;28;29;30;0;0;1;7.6;14.3;8.0;3.4;16.6
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200312;114.0;53.5;8;4;2;2;1;0;7.2;14.0;2.5;0;0;0;0;31;31;0;0.5;-5.1;6.6;1;0;31;31;31;0;0;14;6.7;13.6;3.8;-0.4;10.3
