Périmètre;Nature;Date;Heures;Consommation;;;;
Lille;Données temps réel;22/04/2017;13:00;985;;;;
Lille;Données temps réel;22/04/2017;13:15;950;;;;
Lille;Données temps réel;22/04/2017;13:30;920;;;;
Lille;Données temps réel;22/04/2017;13:45;930;;;;
Lille;Données temps réel;22/04/2017;14:00;891;;;;
Lille;Données temps réel;22/04/2017;14:15;910;;;;
Lille;Données temps réel;22/04/2017;14:30;883;;;;
Lille;Données temps réel;22/04/2017;14:45;859;;;;
Lille;Données temps réel;22/04/2017;15:00;849;;;;
Lille;Données temps réel;22/04/2017;15:15;858;;;;
Lille;Données temps réel;22/04/2017;15:30;823;;;;
Lille;Données temps réel;22/04/2017;15:45;842;;;;
Lille;Données temps réel;22/04/2017;16:00;827;;;;
Lille;Données temps réel;22/04/2017;16:15;840;;;;
Lille;Données temps réel;22/04/2017;16:30;820;;;;
Lille;Données temps réel;22/04/2017;16:45;830;;;;
Lille;Données temps réel;22/04/2017;17:00;829;;;;
Lille;Données temps réel;22/04/2017;17:15;820;;;;
Lille;Données temps réel;22/04/2017;17:30;812;;;;
Lille;Données temps réel;22/04/2017;17:45;825;;;;
Lille;Données temps réel;22/04/2017;18:00;835;;;;
Lille;Données temps réel;22/04/2017;18:15;832;;;;
Lille;Données temps réel;22/04/2017;18:30;808;;;;
Lille;Données temps réel;22/04/2017;18:45;829;;;;
Lille;Données temps réel;22/04/2017;19:00;852;;;;
Lille;Données temps réel;22/04/2017;19:15;847;;;;
Lille;Données temps réel;22/04/2017;19:30;842;;;;
Lille;Données temps réel;22/04/2017;19:45;836;;;;
Lille;Données temps réel;22/04/2017;20:00;835;;;;
Lille;Données temps réel;22/04/2017;20:15;847;;;;
Lille;Données temps réel;22/04/2017;20:30;829;;;;
Lille;Données temps réel;22/04/2017;20:45;832;;;;
Lille;Données temps réel;22/04/2017;21:00;837;;;;
Lille;Données temps réel;22/04/2017;21:15;866;;;;
Lille;Données temps réel;22/04/2017;21:30;885;;;;
Lille;Données temps réel;22/04/2017;21:45;918;;;;
Lille;Données temps réel;22/04/2017;22:00;918;;;;
Lille;Données temps réel;22/04/2017;22:15;906;;;;
Lille;Données temps réel;22/04/2017;22:30;899;;;;
Lille;Données temps réel;22/04/2017;22:45;870;;;;
Lille;Données temps réel;22/04/2017;23:00;856;;;;
Lille;Données temps réel;22/04/2017;23:15;845;;;;
Lille;Données temps réel;22/04/2017;23:30;857;;;;
Lille;Données temps réel;22/04/2017;23:45;876;;;;
Lille;Données temps réel;23/04/2017;00:00;879;;;;
Lille;Données temps réel;23/04/2017;00:15;887;;;;
Lille;Données temps réel;23/04/2017;00:30;866;;;;
Lille;Données temps réel;23/04/2017;00:45;854;;;;
Lille;Données temps réel;23/04/2017;01:00;868;;;;
Lille;Données temps réel;23/04/2017;01:15;887;;;;
Lille;Données temps réel;23/04/2017;01:30;876;;;;
Lille;Données temps réel;23/04/2017;01:45;840;;;;
Lille;Données temps réel;23/04/2017;02:00;814;;;;
Lille;Données temps réel;23/04/2017;02:15;812;;;;
Lille;Données temps réel;23/04/2017;02:30;802;;;;
Lille;Données temps réel;23/04/2017;02:45;792;;;;
Lille;Données temps réel;23/04/2017;03:00;778;;;;
Lille;Données temps réel;23/04/2017;03:15;758;;;;
Lille;Données temps réel;23/04/2017;03:30;759;;;;
Lille;Données temps réel;23/04/2017;03:45;751;;;;
Lille;Données temps réel;23/04/2017;04:00;735;;;;
Lille;Données temps réel;23/04/2017;04:15;741;;;;
Lille;Données temps réel;23/04/2017;04:30;732;;;;
Lille;Données temps réel;23/04/2017;04:45;730;;;;
Lille;Données temps réel;23/04/2017;05:00;744;;;;
Lille;Données temps réel;23/04/2017;05:15;744;;;;
Lille;Données temps réel;23/04/2017;05:30;744;;;;
Lille;Données temps réel;23/04/2017;05:45;738;;;;
Lille;Données temps réel;23/04/2017;06:00;743;;;;
Lille;Données temps réel;23/04/2017;06:15;732;;;;
Lille;Données temps réel;23/04/2017;06:30;723;;;;
Lille;Données temps réel;23/04/2017;06:45;727;;;;
Lille;Données temps réel;23/04/2017;07:00;734;;;;
Lille;Données temps réel;23/04/2017;07:15;735;;;;
Lille;Données temps réel;23/04/2017;07:30;754;;;;
Lille;Données temps réel;23/04/2017;07:45;743;;;;
Lille;Données temps réel;23/04/2017;08:00;739;;;;
Lille;Données temps réel;23/04/2017;08:15;749;;;;
Lille;Données temps réel;23/04/2017;08:30;764;;;;
Lille;Données temps réel;23/04/2017;08:45;781;;;;
Lille;Données temps réel;23/04/2017;09:00;779;;;;
Lille;Données temps réel;23/04/2017;09:15;797;;;;
Lille;Données temps réel;23/04/2017;09:30;795;;;;
Lille;Données temps réel;23/04/2017;09:45;812;;;;
Lille;Données temps réel;23/04/2017;10:00;815;;;;
Lille;Données temps réel;23/04/2017;10:15;836;;;;
Lille;Données temps réel;23/04/2017;10:30;828;;;;
Lille;Données temps réel;23/04/2017;10:45;822;;;;
Lille;Données temps réel;23/04/2017;11:00;832;;;;
Lille;Données temps réel;23/04/2017;11:15;844;;;;
Lille;Données temps réel;23/04/2017;11:30;838;;;;
Lille;Données temps réel;23/04/2017;11:45;843;;;;
Lille;Données temps réel;23/04/2017;12:00;852;;;;
Lille;Données temps réel;23/04/2017;12:15;857;;;;
Lille;Données temps réel;23/04/2017;12:30;884;;;;
Lille;Données temps réel;23/04/2017;12:45;945;;;;
Lille;Données temps réel;23/04/2017;13:00;938;;;;
Lille;Données temps réel;23/04/2017;13:15;882;;;;
Lille;Données temps réel;23/04/2017;13:30;865;;;;
Lille;Données temps réel;23/04/2017;13:45;837;;;;
Lille;Données temps réel;23/04/2017;14:00;824;;;;
Lille;Données temps réel;23/04/2017;14:15;829;;;;
Lille;Données temps réel;23/04/2017;14:30;804;;;;
Lille;Données temps réel;23/04/2017;14:45;780;;;;
Lille;Données temps réel;23/04/2017;15:00;773;;;;
Lille;Données temps réel;23/04/2017;15:15;780;;;;
Lille;Données temps réel;23/04/2017;15:30;765;;;;
Lille;Données temps réel;23/04/2017;15:45;779;;;;
Lille;Données temps réel;23/04/2017;16:00;744;;;;
Lille;Données temps réel;23/04/2017;16:15;743;;;;
Lille;Données temps réel;23/04/2017;16:30;738;;;;
Lille;Données temps réel;23/04/2017;16:45;750;;;;
Lille;Données temps réel;23/04/2017;17:00;771;;;;
Lille;Données temps réel;23/04/2017;17:15;755;;;;
Lille;Données temps réel;23/04/2017;17:30;752;;;;
Lille;Données temps réel;23/04/2017;17:45;763;;;;
Lille;Données temps réel;23/04/2017;18:00;788;;;;
Lille;Données temps réel;23/04/2017;18:15;779;;;;
Lille;Données temps réel;23/04/2017;18:30;769;;;;
Lille;Données temps réel;23/04/2017;18:45;792;;;;
Lille;Données temps réel;23/04/2017;19:00;842;;;;
Lille;Données temps réel;23/04/2017;19:15;842;;;;
Lille;Données temps réel;23/04/2017;19:30;840;;;;
Lille;Données temps réel;23/04/2017;19:45;846;;;;
Lille;Données temps réel;23/04/2017;20:00;834;;;;
Lille;Données temps réel;23/04/2017;20:15;839;;;;
Lille;Données temps réel;23/04/2017;20:30;822;;;;
Lille;Données temps réel;23/04/2017;20:45;826;;;;
Lille;Données temps réel;23/04/2017;21:00;838;;;;
Lille;Données temps réel;23/04/2017;21:15;863;;;;
Lille;Données temps réel;23/04/2017;21:30;883;;;;
Lille;Données temps réel;23/04/2017;21:45;938;;;;
Lille;Données temps réel;23/04/2017;22:00;915;;;;
Lille;Données temps réel;23/04/2017;22:15;913;;;;
Lille;Données temps réel;23/04/2017;22:30;884;;;;
Lille;Données temps réel;23/04/2017;22:45;846;;;;
Lille;Données temps réel;23/04/2017;23:00;841;;;;
Lille;Données temps réel;23/04/2017;23:15;835;;;;
Lille;Données temps réel;23/04/2017;23:30;836;;;;
Lille;Données temps réel;23/04/2017;23:45;854;;;;
Lille;Données temps réel;24/04/2017;00:00;867;;;;
Lille;Données temps réel;24/04/2017;00:15;882;;;;
Lille;Données temps réel;24/04/2017;00:30;863;;;;
Lille;Données temps réel;24/04/2017;00:45;843;;;;
Lille;Données temps réel;24/04/2017;01:00;853;;;;
Lille;Données temps réel;24/04/2017;01:15;890;;;;
Lille;Données temps réel;24/04/2017;01:30;872;;;;
Lille;Données temps réel;24/04/2017;01:45;838;;;;
Lille;Données temps réel;24/04/2017;02:00;814;;;;
Lille;Données temps réel;24/04/2017;02:15;807;;;;
Lille;Données temps réel;24/04/2017;02:30;794;;;;
Lille;Données temps réel;24/04/2017;02:45;785;;;;
