Périmètre;Nature;Date;Heures;Consommation
Grand Lyon;Données temps réel;04/01/2021;16:45;1558
Grand Lyon;Données temps réel;04/01/2021;17:00;1574
Grand Lyon;Données temps réel;04/01/2021;17:15;1581
Grand Lyon;Données temps réel;04/01/2021;17:30;1589
Grand Lyon;Données temps réel;04/01/2021;17:45;1616
Grand Lyon;Données temps réel;04/01/2021;18:00;1607
Grand Lyon;Données temps réel;04/01/2021;18:15;1629
Grand Lyon;Données temps réel;04/01/2021;18:30;1633
Grand Lyon;Données temps réel;04/01/2021;18:45;1659
Grand Lyon;Données temps réel;04/01/2021;19:00;1662
Grand Lyon;Données temps réel;04/01/2021;19:15;1639
Grand Lyon;Données temps réel;04/01/2021;19:30;1609
Grand Lyon;Données temps réel;04/01/2021;19:45;1586
Grand Lyon;Données temps réel;04/01/2021;20:00;1570
Grand Lyon;Données temps réel;04/01/2021;20:15;1552
Grand Lyon;Données temps réel;04/01/2021;20:30;1525
Grand Lyon;Données temps réel;04/01/2021;20:45;1504
Grand Lyon;Données temps réel;04/01/2021;21:00;1471
Grand Lyon;Données temps réel;04/01/2021;21:15;1452
Grand Lyon;Données temps réel;04/01/2021;21:30;1423
Grand Lyon;Données temps réel;04/01/2021;21:45;1384
Grand Lyon;Données temps réel;04/01/2021;22:00;1372
Grand Lyon;Données temps réel;04/01/2021;22:15;1380
Grand Lyon;Données temps réel;04/01/2021;22:30;1378
Grand Lyon;Données temps réel;04/01/2021;22:45;1441
Grand Lyon;Données temps réel;04/01/2021;23:00;1423
Grand Lyon;Données temps réel;04/01/2021;23:15;1440
Grand Lyon;Données temps réel;04/01/2021;23:30;1395
Grand Lyon;Données temps réel;04/01/2021;23:45;1382
Grand Lyon;Données temps réel;05/01/2021;00:00;1342
Grand Lyon;Données temps réel;05/01/2021;00:15;1310
Grand Lyon;Données temps réel;05/01/2021;00:30;1291
Grand Lyon;Données temps réel;05/01/2021;00:45;1270
Grand Lyon;Données temps réel;05/01/2021;01:00;1248
Grand Lyon;Données temps réel;05/01/2021;01:15;1259
Grand Lyon;Données temps réel;05/01/2021;01:30;1248
Grand Lyon;Données temps réel;05/01/2021;01:45;1238
Grand Lyon;Données temps réel;05/01/2021;02:00;1228
Grand Lyon;Données temps réel;05/01/2021;02:15;1219
Grand Lyon;Données temps réel;05/01/2021;02:30;1213
Grand Lyon;Données temps réel;05/01/2021;02:45;1213
Grand Lyon;Données temps réel;05/01/2021;03:00;1197
Grand Lyon;Données temps réel;05/01/2021;03:15;1195
Grand Lyon;Données temps réel;05/01/2021;03:30;1184
Grand Lyon;Données temps réel;05/01/2021;03:45;1179
Grand Lyon;Données temps réel;05/01/2021;04:00;1175
Grand Lyon;Données temps réel;05/01/2021;04:15;1192
Grand Lyon;Données temps réel;05/01/2021;04:30;1189
Grand Lyon;Données temps réel;05/01/2021;04:45;1195
Grand Lyon;Données temps réel;05/01/2021;05:00;1203
Grand Lyon;Données temps réel;05/01/2021;05:15;1235
Grand Lyon;Données temps réel;05/01/2021;05:30;1241
Grand Lyon;Données temps réel;05/01/2021;05:45;1257
Grand Lyon;Données temps réel;05/01/2021;06:00;1258
Grand Lyon;Données temps réel;05/01/2021;06:15;1309
Grand Lyon;Données temps réel;05/01/2021;06:30;1333
Grand Lyon;Données temps réel;05/01/2021;06:45;1364
Grand Lyon;Données temps réel;05/01/2021;07:00;1401
Grand Lyon;Données temps réel;05/01/2021;07:15;1452
Grand Lyon;Données temps réel;05/01/2021;07:30;1499
Grand Lyon;Données temps réel;05/01/2021;07:45;1515
Grand Lyon;Données temps réel;05/01/2021;08:00;1532
Grand Lyon;Données temps réel;05/01/2021;08:15;1534
Grand Lyon;Données temps réel;05/01/2021;08:30;1551
Grand Lyon;Données temps réel;05/01/2021;08:45;1579
Grand Lyon;Données temps réel;05/01/2021;09:00;1564
Grand Lyon;Données temps réel;05/01/2021;09:15;1585
Grand Lyon;Données temps réel;05/01/2021;09:30;1572
Grand Lyon;Données temps réel;05/01/2021;09:45;1593
Grand Lyon;Données temps réel;05/01/2021;10:00;1590
Grand Lyon;Données temps réel;05/01/2021;10:15;1592
Grand Lyon;Données temps réel;05/01/2021;10:30;1577
Grand Lyon;Données temps réel;05/01/2021;10:45;1596
Grand Lyon;Données temps réel;05/01/2021;11:00;1609
Grand Lyon;Données temps réel;05/01/2021;11:15;1612
Grand Lyon;Données temps réel;05/01/2021;11:30;1614
Grand Lyon;Données temps réel;05/01/2021;11:45;1635
Grand Lyon;Données temps réel;05/01/2021;12:00;1634
Grand Lyon;Données temps réel;05/01/2021;12:15;1667
Grand Lyon;Données temps réel;05/01/2021;12:30;1658
Grand Lyon;Données temps réel;05/01/2021;12:45;1647
Grand Lyon;Données temps réel;05/01/2021;13:00;1641
Grand Lyon;Données temps réel;05/01/2021;13:15;1628
Grand Lyon;Données temps réel;05/01/2021;13:30;1622
Grand Lyon;Données temps réel;05/01/2021;13:45;1597
Grand Lyon;Données temps réel;05/01/2021;14:00;1594
Grand Lyon;Données temps réel;05/01/2021;14:15;1574
Grand Lyon;Données temps réel;05/01/2021;14:30;1554
Grand Lyon;Données temps réel;05/01/2021;14:45;1547
Grand Lyon;Données temps réel;05/01/2021;15:00;1539
Grand Lyon;Données temps réel;05/01/2021;15:15;1553
Grand Lyon;Données temps réel;05/01/2021;15:30;1546
Grand Lyon;Données temps réel;05/01/2021;15:45;1535
