identifiant;average_measurement;month
69029001;4,1;1977-12
69029001;6,5;1977-11
69029001;13,6;1977-10
69029001;14,3;1977-09
69029001;17,8;1977-08
69029001;19,2;1977-07
69029001;16,5;1977-06
69029001;13,3;1977-05
69029001;9,3;1977-04
69029001;9,0;1977-03
69029001;7,2;1977-02
69029001;4,4;1977-01
69029001;2,5;1976-12
69029001;6,3;1976-11
69029001;12,2;1976-10
69029001;15,2;1976-09
69029001;19,5;1976-08
69029001;22,3;1976-07
69029001;22,0;1976-06
69029001;16,2;1976-05
69029001;10,1;1976-04
69029001;6,1;1976-03
69029001;4,5;1976-02
69029001;2,9;1976-01
69029001;1,4;1975-12
69029001;6,9;1975-11
69029001;10,1;1975-10
69029001;17,5;1975-09
69029001;21,2;1975-08
69029001;20,9;1975-07
69029001;17,0;1975-06
69029001;13,5;1975-05
69029001;10,0;1975-04
69029001;5,9;1975-03
69029001;4,6;1975-02
69029001;6,2;1975-01
69029001;6,4;1974-12
69029001;7,6;1974-11
69029001;7,3;1974-10
69029001;15,7;1974-09
69029001;20,8;1974-08
69029001;19,9;1974-07
69029001;17,3;1974-06
69029001;13,8;1974-05
69029001;10,4;1974-04
69029001;8,7;1974-03
69029001;5,7;1974-02
69029001;6,3;1974-01
69029001;2,8;1973-12
69029001;6,1;1973-11
69029001;10,0;1973-10
69029001;17,5;1973-09
69029001;21,4;1973-08
69029001;20,1;1973-07
69029001;18,5;1973-06
69029001;15,7;1973-05
69029001;7,9;1973-04
69029001;5,7;1973-03
69029001;2,5;1973-02
69029001;1,3;1973-01
69029001;2,5;1972-12
69029001;7,6;1972-11
69029001;10,6;1972-10
69029001;13,1;1972-09
69029001;18,9;1972-08
69029001;19,5;1972-07
69029001;16,2;1972-06
69029001;13,7;1972-05
69029001;9,4;1972-04
69029001;8,4;1972-03
69029001;6,6;1972-02
69029001;3,3;1972-01
69029001;2,5;1971-12
69029001;4,4;1971-11
69029001;11,9;1971-10
69029001;15,9;1971-09
69029001;20,9;1971-08
69029001;21,8;1971-07
69029001;16,6;1971-06
69029001;15,4;1971-05
69029001;12,5;1971-04
69029001;2,7;1971-03
69029001;3,1;1971-02
69029001;0,1;1971-01
69029001;0,9;1970-12
69029001;8,5;1970-11
69029001;10,6;1970-10
69029001;17,1;1970-09
69029001;20,3;1970-08
69029001;19,8;1970-07
69029001;19,5;1970-06
69029001;14,0;1970-05
69029001;8,5;1970-04
69029001;4,5;1970-03
69029001;4,2;1970-02
69029001;4,0;1970-01
69029001;-1,2;1969-12
69029001;7,4;1969-11
69029001;12,6;1969-10
69029001;16,9;1969-09
69029001;19,2;1969-08
69029001;21,0;1969-07
69029001;15,8;1969-06
69029001;15,0;1969-05
69029001;10,0;1969-04
69029001;7,2;1969-03
69029001;1,7;1969-02
69029001;4,1;1969-01
69029001;2,5;1968-12
69029001;6,1;1968-11
69029001;13,8;1968-10
69029001;15,2;1968-09
69029001;17,6;1968-08
69029001;19,9;1968-07
69029001;17,5;1968-06
69029001;13,3;1968-05
69029001;11,6;1968-04
69029001;7,3;1968-03
69029001;5,3;1968-02
69029001;0,6;1968-01
69029001;0,8;1967-12
69029001;7,1;1967-11
69029001;14,6;1967-10
69029001;15,9;1967-09
69029001;19,7;1967-08
69029001;22,1;1967-07
69029001;17,0;1967-06
69029001;14,0;1967-05
69029001;9,7;1967-04
69029001;8,4;1967-03
69029001;5,2;1967-02
69029001;2,5;1967-01
69029001;4,0;1966-12
69029001;4,3;1966-11
69029001;14,2;1966-10
69029001;17,9;1966-09
69029001;18,6;1966-08
69029001;18,6;1966-07
69029001;18,6;1966-06
69029001;14,8;1966-05
69029001;11,9;1966-04
69029001;5,8;1966-03
69029001;8,6;1966-02
69029001;1,4;1966-01
69029001;5,1;1965-12
69029001;7,2;1965-11
69029001;12,5;1965-10
69029001;14,5;1965-09
69029001;18,5;1965-08
69029001;18,4;1965-07
69029001;18,2;1965-06
69029001;13,9;1965-05
69029001;9,4;1965-04
69029001;7,2;1965-03
69029001;0,6;1965-02
69029001;3,6;1965-01
69029001;2,3;1964-12
69029001;6,3;1964-11
69029001;9,6;1964-10
69029001;17,7;1964-09
69029001;19,4;1964-08
69029001;22,3;1964-07
69029001;19,0;1964-06
69029001;15,7;1964-05
69029001;11,2;1964-04
69029001;5,9;1964-03
69029001;5,2;1964-02
69029001;-0,8;1964-01
69029001;-1,6;1963-12
69029001;9,9;1963-11
69029001;11,1;1963-10
69029001;15,8;1963-09
69029001;17,9;1963-08
69029001;20,6;1963-07
69029001;17,4;1963-06
69029001;13,4;1963-05
69029001;11,1;1963-04
69029001;7,0;1963-03
69029001;-1,2;1963-02
69029001;-3,7;1963-01
69029001;-0,6;1962-12
69029001;4,4;1962-11
69029001;11,0;1962-10
69029001;16,5;1962-09
69029001;21,1;1962-08
69029001;20,0;1962-07
69029001;17,3;1962-06
69029001;13,1;1962-05
69029001;10,1;1962-04
69029001;4,7;1962-03
69029001;2,3;1962-02
69029001;4,9;1962-01
69029001;4,3;1961-12
69029001;5,9;1961-11
69029001;12,9;1961-10
69029001;20,9;1961-09
69029001;19,1;1961-08
69029001;19,6;1961-07
69029001;18,8;1961-06
69029001;13,6;1961-05
69029001;13,2;1961-04
69029001;8,1;1961-03
69029001;7,7;1961-02
69029001;3,2;1961-01
69029001;2,6;1960-12
69029001;8,4;1960-11
69029001;11,8;1960-10
69029001;14,6;1960-09
69029001;18,6;1960-08
69029001;18,2;1960-07
69029001;19,4;1960-06
69029001;16,5;1960-05
69029001;10,3;1960-04
69029001;8,7;1960-03
69029001;5,8;1960-02
69029001;2,0;1960-01
69029001;5,7;1959-12
69029001;6,3;1959-11
69029001;12,2;1959-10
69029001;18,1;1959-09
69029001;20,2;1959-08
69029001;22,9;1959-07
69029001;18,9;1959-06
69029001;14,8;1959-05
69029001;11,2;1959-04
69029001;9,9;1959-03
69029001;3,2;1959-02
69029001;3,3;1959-01
69029001;4,5;1958-12
69029001;5,6;1958-11
69029001;10,7;1958-10
69029001;18,3;1958-09
69029001;20,6;1958-08
69029001;20,3;1958-07
69029001;17,5;1958-06
69029001;16,7;1958-05
69029001;8,5;1958-04
69029001;5,2;1958-03
69029001;6,3;1958-02
69029001;3,6;1958-01
69029001;2,7;1957-12
69029001;6,0;1957-11
69029001;11,1;1957-10
69029001;16,0;1957-09
69029001;19,1;1957-08
69029001;20,2;1957-07
69029001;18,2;1957-06
69029001;12,4;1957-05
69029001;10,6;1957-04
69029001;10,4;1957-03
69029001;7,7;1957-02
69029001;0,3;1957-01
69029001;4,7;1956-12
69029001;3,9;1956-11
69029001;10,0;1956-10
69029001;17,4;1956-09
69029001;17,4;1956-08
69029001;19,2;1956-07
69029001;15,8;1956-06
69029001;15,3;1956-05
69029001;9,0;1956-04
69029001;6,8;1956-03
69029001;-6,7;1956-02
69029001;4,2;1956-01
69029001;6,0;1955-12
69029001;5,8;1955-11
69029001;9,7;1955-10
69029001;16,2;1955-09
69029001;20,0;1955-08
69029001;20,4;1955-07
69029001;18,3;1955-06
69029001;14,3;1955-05
69029001;11,2;1955-04
69029001;5,4;1955-03
69029001;4,3;1955-02
69029001;4,8;1955-01
69029001;5,4;1954-12
69029001;8,5;1954-11
69029001;11,8;1954-10
69029001;16,7;1954-09
69029001;18,8;1954-08
69029001;19,0;1954-07
69029001;18,8;1954-06
69029001;13,7;1954-05
69029001;9,3;1954-04
69029001;8,3;1954-03
69029001;1,2;1954-02
69029001;0,7;1954-01
69029001;6,3;1953-12
69029001;5,5;1953-11
69029001;12,8;1953-10
69029001;17,9;1953-09
69029001;20,5;1953-08
69029001;20,3;1953-07
69029001;17,0;1953-06
69029001;16,7;1953-05
69029001;11,7;1953-04
69029001;8,0;1953-03
69029001;1,7;1953-02
69029001;-1,3;1953-01
69029001;3,2;1952-12
69029001;5,9;1952-11
69029001;11,5;1952-10
