"année";"nom territoire";"code insee";"nom commune";"nom réseau";"indicateur";"unités";"valeur"
"2023";"Rhône";"69299";"Colombier-Saugnieu";"Colombier Saugnieu";"production autres";"MWh";0
"2023";"Rhône";"69299";"Colombier-Saugnieu";"Colombier Saugnieu";"production biogaz";"MWh";0
"2023";"Rhône";"69299";"Colombier-Saugnieu";"Colombier Saugnieu";"production biomasse solide";"MWh";385,28
"2023";"Rhône";"69299";"Colombier-Saugnieu";"Colombier Saugnieu";"production chaleur fatale";"MWh";0
"2023";"Rhône";"69299";"Colombier-Saugnieu";"Colombier Saugnieu";"production charbon";"MWh";0
"2023";"Rhône";"69299";"Colombier-Saugnieu";"Colombier Saugnieu";"production chaudiere électrique";"MWh";0
"2023";"Rhône";"69299";"Colombier-Saugnieu";"Colombier Saugnieu";"production enr hors bois";"MWh";0
"2023";"Rhône";"69299";"Colombier-Saugnieu";"Colombier Saugnieu";"production gaz naturel";"MWh";0
"2023";"Rhône";"69299";"Colombier-Saugnieu";"Colombier Saugnieu";"production produits pétroliers ";"MWh";226,95
"2023";"Rhône";"69299";"Colombier-Saugnieu";"Colombier Saugnieu";"production totale";"MWh";612,23
"2022";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"niveau de rejet en CO2 des réseaux";"MWh";0
"2022";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"densité";"MWh";5532,73
"2022";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"longueur réseau";"MWh";1,8
"2022";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production autres";"MWh";0
"2022";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production biogaz";"MWh";0
"2022";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production biomasse solide";"MWh";0
"2022";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production chaleur fatale";"MWh";0
"2022";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production charbon";"MWh";0
"2022";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production chaudiere électrique";"MWh";0
"2022";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production enr hors bois";"MWh";0
"2022";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production gaz naturel";"MWh";9849,49
"2022";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production produits pétroliers ";"MWh";109,42
"2022";"Rhône";"69008";"Ancy";"Quartier Mermoz Sud";"production totale";"MWh";9958,91
"2022";"Rhône";"69066";"Cours";"Réseau de chaleur bois Cours-la-Ville";"niveau de rejet en CO2 des réseaux";"MWh";0,04
"2022";"Rhône";"69066";"Cours";"Réseau de chaleur bois Cours-la-Ville";"densité";"MWh";2461,02
"2022";"Rhône";"69066";"Cours";"Réseau de chaleur bois Cours-la-Ville";"longueur réseau";"MWh";0,48
"2022";"Rhône";"69066";"Cours";"Réseau de chaleur bois Cours-la-Ville";"production autres";"MWh";0
