Date;Code INSEE département;Département;TMin (°C);TMax (°C);TMoy (°C)
2021-06-17;69;Rhône;23.0;30.1;26.55
2021-06-18;69;Rhône;20.6;31.95;26.28
2020-06-18;69;Rhône;12.15;23.4;17.77
2021-06-20;69;Rhône;16.8;29.0;22.9
2020-07-15;69;Rhône;17.8;22.95;20.38
2020-11-06;69;Rhône;4.15;18.4;11.28
2020-11-07;69;Rhône;11.5;17.5;14.5
2020-07-19;69;Rhône;15.15;30.7;22.92
2021-06-25;69;Rhône;12.9;22.2;17.55
2020-07-21;69;Rhône;21.15;35.05;28.1
2020-11-11;69;Rhône;8.85;12.7;10.77
2022-01-07;69;Rhône;-1.95;3.9;0.98
2020-07-25;69;Rhône;17.75;31.75;24.75
2020-07-01;69;Rhône;18.35;32.5;25.42
2020-07-27;69;Rhône;18.1;36.65;27.38
2020-11-16;69;Rhône;7.8;13.65;10.72
2020-11-18;69;Rhône;3.95;18.9;11.42
2021-07-07;69;Rhône;14.45;25.3;19.88
2020-07-06;69;Rhône;18.6;25.6;22.1
2021-07-08;69;Rhône;15.75;23.4;19.58
2020-08-03;69;Rhône;16.85;22.95;19.9
2020-05-18;69;Rhône;11.9;24.15;18.02
2020-11-22;69;Rhône;-2.25;4.2;0.97
2022-01-16;69;Rhône;-4.9;-0.8;-2.85
2020-08-05;69;Rhône;13.45;29.15;21.3
2020-07-10;69;Rhône;21.2;32.15;26.67
